"Name","eval/Dice","eval/MAE","eval/mIoU","module.model.prompt_type","module.model.trainable_modules","data_module.data.name","trainer.max_epochs"
"endovis17_mask_mem+md+pe+ie__148635","0.8257735782117495","2.4052339803370097","0.7788863401931527","mask","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder"",""image_encoder""]","endovis17","30"
"endovis17_box_mem+md+pe+ie__148297","0.8024237000283241","2.854321332092995","0.7550352761482835","box","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder"",""image_encoder""]","endovis17","30"
"endovis17_point_mem+md+pe+ie__148640","0.8252189606138867","1.2885388226204362","0.7784867705528979","point","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder"",""image_encoder""]","endovis17","30"
"endovis17_mask_md+pe+ie__148639","0.8248381363892238","2.454750478684298","0.7790661402855252","mask","[""mask_decoder"",""prompt_encoder"",""image_encoder""]","endovis17","30"
"endovis17_mask_md+pe__148641","0.8183233906266112","2.6187321662448007","0.7705055965470482","mask","[""mask_decoder"",""prompt_encoder""]","endovis17","30"
"endovis17_mask_md__148636","0.819536880913374","2.6233287521584003","0.7719119334417","mask","[""mask_decoder""]","endovis17","30"
"endovis17_box_md__148634","0.7885817821301049","3.003729724303412","0.7373111528440426","box","[""mask_decoder""]","endovis17","30"
"endovis17_point_md+pe__148643","0.7956438444569642","2.754316933899124","0.7421998598442826","point","[""mask_decoder"",""prompt_encoder""]","endovis17","30"
"endovis17_point_md__148642","0.8023550367189717","2.6303292043686017","0.7503382146870741","point","[""mask_decoder""]","endovis17","30"
"endovis17_mask_mem+md+pe__148297","0.846936477361036","1.9163678533180009","0.8006225078534852","mask","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder""]","endovis17","30"
"endovis17_mask_mem+md__148640","0.8454087008615814","1.9326381154485908","0.7987748402059857","mask","[""memory_encoder"",""memory_attention"",""mask_decoder""]","endovis17","30"
"endovis17_mask_mem__148639","0.8268236682743211","2.429764067014597","0.7790217292330465","mask","[""memory_encoder"",""memory_attention""]","endovis17","30"
"endovis17_box_mem+md+pe__148641","0.7917434590643377","2.9553312289633995","0.7397177252899981","box","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder""]","endovis17","30"
"endovis17_box_mem+md__148642","0.7885049215444495","2.998917275902475","0.7364172710732119","box","[""memory_encoder"",""memory_attention"",""mask_decoder""]","endovis17","30"
"endovis17_box_mem__148643","0.7949219003953025","3.039189112698274","0.7418277085139187","box","[""memory_encoder"",""memory_attention""]","endovis17","30"
"endovis17_point_mem+md+pe__148635","0.7943450414809655","2.696770958199082","0.7448085463625519","point","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder""]","endovis17","30"
"endovis17_point_mem+md__148638","0.8077368493877122","2.168094234692054","0.7564568464124237","point","[""memory_encoder"",""memory_attention"",""mask_decoder""]","endovis17","30"
"endovis17_point_mem__148637","0.7624515651146757","2.5630149904930843","0.7052087447002886","point","[""memory_encoder"",""memory_attention""]","endovis17","30"
"endovis18_box_md+pe+ie__148639","0.43619644266660274","3.485816467011283","0.40721052739117514","box","[""mask_decoder"",""prompt_encoder"",""image_encoder""]","endovis18","30"
"endovis18_point_md+pe+ie__148634","0.3693576127923026","3.74811666029376","0.34513956472916607","point","[""mask_decoder"",""prompt_encoder"",""image_encoder""]","endovis18","30"
